date,parameter,location,value,unit,city,attribution,coordinates,country,sourcename,sourcetype,mobile
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm10,MNB,152.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.929733, longitude=106.888626}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm25,Bukhiin urguu,34.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.917606, longitude=106.93736}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm25,Nisekh,48.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.86394, longitude=106.77909}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm25,Amgalan,24.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.91343, longitude=106.99791}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm25,MNB,103.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.929733, longitude=106.888626}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm25,Baruun 4 zam,19.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.915382, longitude=106.894196}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm10,Mongol gazar,37.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.903538, longitude=106.85071}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm25,Tolgoit,91.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.922497, longitude=106.79481}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm10,Misheel expo,34.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.89434, longitude=106.88247}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm10,100 ail,28.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.932907, longitude=106.92139}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm10,Baruun 4 zam,71.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.915382, longitude=106.894196}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm10,Nisekh,72.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.86394, longitude=106.77909}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm10,Bukhiin urguu,68.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.917606, longitude=106.93736}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm10,Tolgoit,125.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.922497, longitude=106.79481}",MN,Agaar.mn,,
"{utc=2015-10-03T00:00:00.000Z, local=2015-10-03T08:00:00+08:00}",pm10,Amgalan,38.0,Âµg/mÂ³,Ulaanbaatar,"[{name=Agaar.mn, url=http://agaar.mn/}, {name=National Agency of Meteorology and Environmental Monitoring, url=http://namem.gov.mn}]","{latitude=47.91343, longitude=106.99791}",MN,Agaar.mn,,
